"","domainname","nbHostname","nbIP","totalScanNb","nbDayHnScanned","loginBannerNb","rejectScanNb","warningBannerNb","sysInfoBannerNb","sshPortNb","noSecurityNoSysinfoNB","SecurityNoSysinfoNB"
"314","chrjsn.se",1,1,216,1,0,0,0,1,1,0,0
"315","cinfuserver.com",1,1,175,1,0,0,0,0,0,1,0
"316","civilmanagement.nl",1,1,187,1,1,0,0,0,0,0,1
"317","cj2.nl",13,16,435,0.908045977011494,0,0,0,1,0,0,0
"318","cjaccountancy.nl",1,1,205,1,0,0,0,1,1,0,0
"319","cjvianen.com",1,1,205,1,0,0,0,1,0,0,0
"320","clanordns.net",1,1,93,1,1,0,0,1,0,0,0
"321","clara.net",4,4,447,1,0.809843400447427,0,0,0,0,0,0.997762863534676
"322","claranet.nl",13,14,1363,0.994864269992663,0,0,0,0,0,0,0
"323","clearcampaign.net",1,1,148,1,1,0,0,1,0,0,0
"324","clickkon.ml",1,1,87,1,1,0,0,1,0,0,0
"325","clientshostname.com",1,3,578,0.380622837370242,0,1,1,0,0,0,1
"326","climarad.com",1,1,167,1,0.892215568862275,0.107784431137725,0,0,0,0,1
"327","clonedvapors.com",1,1,121,1,0,0,0,1,1,0,0
"328","cloud4work.nl",1,1,56,1,1,0,0,0,0,0,1
"329","cloudcdn",1,1,39,1,0,1,1,0,0,0,1
"330","clouddiskspace.nl",1,5,937,0.240128068303095,0,0,0,0.996798292422625,0.996798292422625,0.0032017075773746,0
"331","cloudi.ro",1,1,202,1,1,0,0,1,0,0,0
"332","cloudvention.net",1,1,201,1,1,0,1,0,0,0,1
"333","cloudvps.com",16,16,2099,1,0,0,0,0.983801810385898,0,0,0
"334","cne.nl",1,1,7,1,0,0,0,0,0,1,0
"335","co.id",1,1,43,1,1,0,0,1,0,0,0
"336","co.il",1,1,207,1,0,0,0,1,1,0,0
"337","co.uk",7,7,680,1,0,0,0,0,0,0,0
"338","co.za",1,1,11,1,0,0,0,1,0,0,0
"339","coaton.nl",1,1,24,1,0.958333333333333,0.0416666666666667,0,0,0,0,1
"340","cobbler.nl",15,15,2456,1,0.991449511400652,0,0,0,0,0,0
"341","cobytes.io",1,3,5,0.8,0,0,0,0,0,1,0
"342","codely.nl",2,2,33,1,0,0,0,1,1,0,0
"343","cogentco.com",5,5,281,1,0,0,0,0,0,0,0
"344","collall.nl",1,1,202,1,0.876237623762376,0.123762376237624,0,0,0,0,1
"345","colo.nl",1,1,201,1,0.91044776119403,0,0,0,0,0.0895522388059701,0.91044776119403
"346","colocenter.nl",2,34,4153,0.109318564892849,0.774620756079942,0.150012039489526,0,0,0,0,0.822778714182519
"347","coloprovider.nl",2,3,603,0.688225538971808,0,0,0,1,1,0,0
"348","colt.net",16,16,2269,1,0,0,0,0,0,0,1
"349","coltfrance.com",1,1,59,1,1,0,0,0,0,0,1
"350","com.au",1,1,206,1,0,0,0,1,1,0,0
"351","com.br",3,3,291,1,0,0,0,0,0,0,0
"352","com.my",1,3,51,0.450980392156863,0,0,0,1,0,0,0
"353","com.sg",4,4,5,1,0,1,0,0,0,0,1
"354","com.ua",2,2,318,1,0,0,0,1,0,0,0
"355","com.ve",1,1,11,1,0,0,0,0,0,1,0
"356","comedia.nl",1,1,152,1,0,0,0,0,0,1,0
"357","commitment.nl",2,2,416,1,1,0,0,1,0,0,0
"358","commplaza.nl",2,2,402,1,0.95273631840796,0,0,0,0,0,1
"359","companioncc.nl",1,1,204,1,1,0,0,1,0,0,0
"360","compromise.nl",1,1,205,1,0,0,0,0,0,1,0
"361","computel.nl",13,13,1537,1,0,0,0,0,0,0,0
"362","computens.nl",1,1,205,1,1,0,0,0,0,0,1
"363","computerline.net",2,2,283,1,0,0,0,0,0,1,0
"364","computerwinkel.eu",1,1,149,1,0.879194630872483,0.120805369127517,0,0,0,0,1
"365","comsave.nl",1,30,2150,0.105116279069767,0.9,0.0995348837209302,0.0181395348837209,0.33906976744186,0,0.000465116279069767,0.66046511627907
"366","concepts.nl",130,130,7297,1,0,0,0,0,0,0,0
"367","concorp.nl",1,1,204,1,0,1,0,0,0,0,1
"368","conet.nl",1,1,206,1,0.723300970873786,0.276699029126214,0,0,0,0,1
"369","connectux1.wijmenga",1,1,200,1,1,0,0,0,0,0,1
"370","consbras.nl",2,2,200,1,0.9,0.1,0,0,0,0,1
"371","consciousenergy.science",1,1,1,1,0,0,0,1,1,0,0
"372","constellationservers.net",1,1,9,1,1,0,0,1,0,0,0
"373","contictisp.nl",2,2,200,1,0,0,0,0,0,0,1
"374","controlin.nl",1,1,176,1,0,0,0,0,0,1,0
"375","coolhost.nl",1,1,199,1,0,1,0,0,0,0,1
"376","cosinesciencecomputing.net",1,1,10,1,1,0,0,1,0,0,0
"377","couponplus.ro",1,1,208,1,1,0,0,1,0,0,0
"378","creamsidetwo.cf",1,1,1,1,0,0,0,0,0,1,0
"379","crossnetworks.nl",1,1,1,1,1,0,0,0,0,0,1
"380","crv4all.com",1,1,100,1,1,0,0,0,0,0,1
"381","cscsport.nl",1,1,59,1,0.864406779661017,0.135593220338983,0,0,0,0,1
"382","ctivd.nl",1,2,335,0.558208955223881,0,0,0,1,0,0,0
"383","ctrader.com",1,1,166,1,0,0,0,0,0,1,0
"384","cu4xs.com",1,1,192,1,0,0,0,1,1,0,0
"385","cuci.nl",1,1,199,1,1,0,0,0,0,0,1
"386","cxni.net",1,1,191,1,1,0,0,0,0,0,1
"387","cyclots.info",1,1,174,1,1,0,0,0,0,0,1
"388","cyso.net",1,1,185,1,0,0,0,1,1,0,0
"389","d-server.nl",1,3,484,0.440082644628099,0.00206611570247934,0.421487603305785,0,0.421487603305785,0,0.576446280991736,0.00206611570247934
"390","da-capobv.nl",1,1,206,1,0.932038834951456,0.0679611650485437,0,0,0,0,1
"391","daankromhout.nl",1,1,192,1,1,0,0,0,0,0,1
"392","dabco-ict.nl",1,1,209,1,1,0,0,0,0,0,1
"393","dajo.nl",1,1,38,1,1,0,0,0,0,0,1
"394","dakkindercentra.nl",1,1,155,1,1,0,0,0,0,0,1
"395","damousys.nl",1,1,1,1,1,0,0,1,0,0,0
"396","dankers-cases.nl",6,6,1053,1,0.751187084520418,0.248812915479582,0,0,0,0,1
"397","danlka133r.ru",1,1,8,1,0,0,0,1,0,0,0
"398","darico.nl",2,4,413,0.535108958837772,1,0,0,0,0,0,1
"399","darkness-reigns.net",1,1,101,1,1,0,0,0,0,0,1
"400","data898.info",1,1,1,1,0,0,0,0,0,1,0
"401","datafiber.nl",4,24,2896,0.267955801104972,0.92921270718232,0,0,0.774171270718232,0,0,0
"402","datapacket.com",8,8,63,1,1,0,0,0,0,0,1
"403","datapas.nl",1,1,84,1,0,0,0,1,0,0,0
"404","dataweb.net",81,81,3133,1,0,0,0,0,0,0,0
"405","datedive.com",9,9,90,1,0,0,0,0,0,0,0
"406","datinglab.net",1,1,200,1,0,0,0,0,0,1,0
"407","daxisweb.net",1,1,206,1,1,0,0,0,0,0,1
"408","dbl-lunteren.nl",1,1,175,1,0.931428571428571,0.0685714285714286,0,0,0,0,1
"409","dbp-onderwijs.nl",1,1,188,1,0.835106382978723,0.164893617021277,0,0,0,0,1
"410","dcgv.nl",1,1,85,1,0,0,0,0,0,1,0
"411","dchost.eu",1,1,190,1,0,0,0,0,0,1,0
"412","dcnh.nl",1,1,201,1,1,0,0,0,0,0,1
"413","dcube-resource.be",1,1,32,1,0,0.9375,0,0,0,0.0625,0.9375
"414","ddfr.nl",34,34,3698,1,0,0,0,0,0,0,0
"415","ddns.net",1,1,7,1,1,0,0,1,0,0,0
"416","deanconnect.nl",12,12,1038,1,0.934489402697495,0,0,0,0,0,0.996146435452794
"417","deanone.nl",17,17,1577,1,0,0,0,0,0,0,0
"418","debeijer.nl",1,1,207,1,0.917874396135266,0.0821256038647343,0,0,0,0,1
"419","debeijernet.nl",5,6,808,1,0.811881188118812,0.186881188118812,0,0,0,0,0.872524752475248
"420","debontebie.be",1,1,211,1,0,0,0,1,1,0,0
"421","debresser.nl",1,1,108,1,0.481481481481481,0.518518518518518,0,0,0,0,1
"422","deheij.nl",1,1,203,1,1,0.00985221674876847,0,0,0,0,1
"423","dehostingfirma.nl",7,7,174,1,1,0,1,0,0,0,1
"424","deincassotheekwordpress.nl",1,1,77,1,0,0,0,1,1,0,0
"425","dekkerbv.eu",1,1,80,1,1,0,0,0,0,0,1
"426","dektec.nl",1,1,26,1,1,0,0,0,0,0,1
"427","deltacom-cloud.nl",2,2,102,1,0.970588235294118,0,1,0,0,0,1
"428","deltahost-ptr",8,8,1119,1,0,0,0,0,0,0,0
"429","deltawood.nl",1,1,94,1,0.936170212765957,0.0638297872340425,0,0,0,0,1
"430","demon.nl",21,21,3221,1,0,0,0,0,0,0,0
